店舗ID,店舗_名称,店舗_名称_カナ,店舗_概要,店舗_所在地,店舗_所在地_郵便番号,店舗_所在地_全国地方公共団体コード,店舗_所在地_都道府県名,店舗_所在地_郡名,店舗_所在地_市区町村名,店舗_所在地_行政区名,店舗_所在地_町域名以降,店舗_所在地_建物名,店舗_所在地_緯度,店舗_所在地_経度,店舗_業態_産業分類コード,店舗_業態_産業分類名,店舗_画像,店舗_タグ,店舗_営業時間,店舗_定休日,店舗_電話番号,店舗_FAX番号,店舗_メールアドレス,店舗_Webサイト,店舗_地図,店舗_Twitter,店舗_Facebookページ,店舗_インスタグラム,店舗_LINE,店舗_テイクアウト対応フラグ,店舗_デリバリー対応フラグ,店舗_閉店フラグ,店舗_登録日,店舗_最終更新日,店舗_補足,NO,区
F0377,御蔵別亭,ミクラベッテイ,,静岡県浜松市中区千歳町54　中央千歳ビル1F,4300934,221309,静岡県,,浜松市,中区,千歳町54,中央千歳ビル1F,34.703836,137.730294,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)482-7272,,,,,,,,,,,,2020-09-15,,,310,中区
F0379,中華そばみやひろ,チュウカソバミヤヒロ,,静岡県浜松市中区千歳町100-1,4300934,221309,静岡県,,浜松市,中区,千歳町100-1,,34.704097,137.731176,7624,ラーメン店,,,,,(053)458-1339,,,,,,,,,,,,2020-09-15,,,311,中区
F0347,浜松カントリークラブレストラン,ハママツカントリークラブレストラン,,静岡県浜松市天竜区渡ケ島20-6浜松カントリークラブ内2階,4313423,221309,静岡県,,浜松市,天竜区,渡ケ島20-6,浜松カントリークラブ内2階,34.852339,137.778119,7611,食堂，レストラン（専門料理店を除く）,,,,,(0539)25-3516,,,https://www.hamamatsu-cc.jp/,,,,,,,,,2020-09-16,,,312,天竜区
F0351,銀座ライオン浜松松竹ビル店,ギンザライオンハママツショウチクビルテン,,静岡県浜松市中区肴町322-20浜松松竹ビル5F,4300932,221309,静岡県,,浜松市,中区,肴町322-20,浜松松竹ビル5F,34.706761,137.730384,7651,酒場，ビヤホール,,,,,(053)457-0313,,,,,,,,,,,,2020-09-16,,,313,中区
F0358,つぼ八和合店,ツボハチワゴウテン,,静岡県浜松市中区和合町220-324,4338125,221309,静岡県,,浜松市,中区,和合町220-324,,34.738821,137.709087,7651,酒場，ビヤホール,,,,,(053)437-5353,,,,,,,,,,,,2020-09-16,,,314,中区
F0359,ゆあん,ユアン,,静岡県浜松市北区三幸町476-8,4338101,221309,静岡県,,浜松市,北区,三幸町476-8,,34.804656,137.713553,7699,他に分類されない飲食店,,,,,(053)543-5005,,,,,,,,,,,,2020-09-16,,,315,北区
F0361,Orga,オルガ,,静岡県浜松市中区肴町322-1ぬい屋ビル3F南側,4300932,221309,静岡県,,浜松市,中区,肴町322-1,ぬい屋ビル3F南側,34.706946,137.730155,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)458-5566,,,https://orga.owst.jp,,,,,,,,,2020-09-16,,,316,中区
F0372,鉄板びーむ,テッパンビーム,,静岡県浜松市中区上浅田1-2-24,4328042,221309,静岡県,,浜松市,中区,上浅田1-2-24,,34.697497,137.727277,7692,お好み焼き・焼きそば・たこ焼き店,,,,,(053)477-0012,,,,,,,,,,,,2020-09-16,,,317,中区
F0382,Calvino,カルビーノ,,静岡県浜松市中区鍛冶町319-14アダムビル1階,4300933,221309,静岡県,,浜松市,中区,鍛冶町319-14,アダムビル1階,34.706013,137.730160,7625,焼き肉店,,,,,(053)455-4610,,,https://calvino.owst.jp/,,,,,,,,,2020-09-16,,,318,中区
F0385,CONTENTO,コンテント,,静岡県浜松市中区板屋町102-17長水館ビル1F,4300928,221309,静岡県,,浜松市,中区,板屋町102-17,長水館ビル1F,34.707164,137.732939,7629,その他の専門料理店,,,,,(053)452-2006,,,http://contento.x0.com/,,,,,,,,,2020-09-16,,,319,中区
F0397,お好み焼きダイニング弧味,オコノミヤキダイニングコミ,,静岡県浜松市中区田町329-14,4300944,221309,静岡県,,浜松市,中区,田町329-14,,34.707084,137.731456,7692,お好み焼き・焼きそば・たこ焼き店,,,,,(053)458-8155,,,,,,,,,,,,2020-09-16,,,320,中区
F0356,国民宿舎奥浜名湖（レストラン）,コクミンシュクシャオクハマナコレストラン,,静岡県浜松市北区細江町気賀1023-1,4311305,221309,静岡県,,浜松市,北区,細江町気賀1023-1,,34.812740,137.650370,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)522-1115,,,https://www.okuhamanako.jp/,,,,,,,,,2020-09-17,,,321,北区
F0362,ハママツウッシーナ,ハママツウッシーナ,,静岡県浜松市中区田町325-38笠井屋ビルディングアネックス2F,4300944,221309,静岡県,,浜松市,中区,田町325-38,笠井屋ビルディングアネックス2F,34.707647,137.729929,7651,酒場，ビヤホール,,,,,(053)401-0501,,,https://nbnt800.gorp.jp/,,,,,,,,,2020-09-17,,,322,中区
F0363,曳馬寿し,ヒクマズシ,,静岡県浜松市中区曳馬5-6-41,4300901,221309,静岡県,,浜松市,中区,曳馬5-6-41,,34.731747,137.740569,7641,すし店,,,,,(053)473-1944,,,,,,,,,,,,2020-09-17,,,323,中区
F0369,つぼ八原島店,ツボハチバラジマテン,,静岡県浜松市東区原島町284-1,4350047,221309,静岡県,,浜松市,東区,原島町284-1,,34.729807,137.770879,7651,酒場，ビヤホール,,,,,(053)469-2288,,,,,,,,,,,,2020-09-17,,,324,東区
F0371,三ツ星マート浜松店,ミツボシマートハママツテン,,静岡県浜松市中区葵東2丁目8-10,4338114,221309,静岡県,,浜松市,中区,葵東2丁目8-10,,34.758813,137.723552,7651,酒場，ビヤホール,,,,,(053)459-1711,,,,,,,,,,,,2020-09-17,,,325,中区
F0383,藤いち,フジイチ,,静岡県浜松市中区肴町313-20,4300932,221309,静岡県,,浜松市,中区,肴町313-20,,34.706188,137.728731,7621,日本料理店,,,,,(053)452-2793,,,https://www.hotpepper.jp/strJ000427214/,,,,,,,,,2020-09-17,,,326,中区
F0392,曳馬野,ヒクマノ,,静岡県浜松市中区田町322-3,4300944,221309,静岡県,,浜松市,中区,田町322-3,,34.706939,137.730471,7629,その他の専門料理店,,,,,(053)452-3544,,,https://r.gnavi.co.jp/n974200/,,,,,,,,,2020-09-17,,,327,中区
F0398,魚きく,ウオキク,,静岡県浜松市中区新津町12-1,4300911,221309,静岡県,,浜松市,中区,新津町12-1,,34.723490,137.738064,7651,酒場，ビヤホール,,,,,(053)471-2751,,,https://uokiku-hamamatsu.com/,,,,,,,,,2020-09-17,,,328,中区
F0401,圧力釜もっちりうどん『福桝屋』,アツリョクガマモッチリウドンフクマスヤ,,静岡県浜松市北区三ヶ日町都筑1170-10,4311402,221309,静岡県,,浜松市,北区,三ヶ日町都筑1170-10,,34.794252,137.584093,7631,そば・うどん店,,,,,(053)526-1020,,,,,,,,,,,,2020-09-17,,,329,北区
F0352,キャトルセゾン浜松,キャトルセゾンハママツ,,静岡県浜松市中区田町223-21ビオラ田町1F,4300944,221309,静岡県,,浜松市,中区,田町223-21,ビオラ田町1F,34.708498,137.729040,7629,その他の専門料理店,,,,,(053)413-0880,,,,,,,,,,,,2020-09-18,,,330,中区
F0375,うな吉,ウナキチ,,静岡県浜松市北区三方原町2142-9,4338105,221309,静岡県,,浜松市,北区,三方原町2142-9,,34.789433,137.704813,7629,その他の専門料理店,,,,,(053)437-0549,,,,,,,,,,,,2020-09-18,,,331,北区
F0384,鰻昇亭,マンショウテイ,,静岡県浜松市南区下江町454,4300825,221309,静岡県,,浜松市,南区,下江町454,,34.680177,137.771356,7621,日本料理店,,,,,(053)425-4026,,,https://manshotei.com/,,,,,,,,,2020-09-18,,,332,南区
F0386,いりかま,イリカマ,,静岡県浜松市中区砂山町362-1ビューティメゾン1階,4300926,221309,静岡県,,浜松市,中区,砂山町362-1,ビューティメゾン1階,34.701170,137.733027,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)456-4465,,,,,,,,,,,,2020-09-18,,,333,中区
F0389,�林甲羅本店,タカバヤシコウラホンテン,,静岡県浜松市中区高林4-2-12,4300907,221309,静岡県,,浜松市,中区,高林4-2-12,,34.727716,137.732274,7621,日本料理店,,,,,(053)478-2251,,,https://www.kora.co.jp/,,,,,,,,,2020-09-18,,,334,中区
F0390,"メキシカン酒場MUCHO AMIGO ムーチョアミーゴ",メキシカンサカバムーチョアミーゴ,,静岡県浜松市中区田町324-13田町324ビル2F,4300944,221309,静岡県,,浜松市,中区,田町324-13,田町324ビル2F,34.707154,137.730996,7651,酒場，ビヤホール,,,,,(053)454-3900,,,https://mucho-amigo.com/,,,,,,,,,2020-09-18,,,335,中区
F0393,すし匠佐々屋長兵衛,スシショウササヤチョウベイ,,静岡県浜松市中区肴町319-1ノアビルB1,4300932,221309,静岡県,,浜松市,中区,肴町319-1,ノアビルB1,34.706032,137.729212,7641,すし店,,,,,(053)455-7007,,,,,,,,,,,,2020-09-18,,,336,中区
F0394,旬肴　貴田乃瀬,シュンサイキタノセ,,静岡県浜松市中区田町231-1,4300944,221309,静岡県,,浜松市,中区,田町231-1,,34.709159,137.731902,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)455-2832,,,http://blog.kitanose.jp/,,,,,,,,,2020-09-18,,,337,中区
F0399,とんかつ和幸イオンモール浜松志都呂店,トンカツワコウイオンモールハママツシトロテン,,静岡県浜松市西区志都呂2-37-1イオンモール内1F,4328069,221309,静岡県,,浜松市,西区,志都呂2-37-1,イオンモール内1F,34.697180,137.649390,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)415-1235,,,,,,,,,,,,2020-09-18,,,338,西区
F0400,"Anny coffee",アニーコーヒー,,静岡県浜松市東区中野町17-1,4350004,221309,静岡県,,浜松市,東区,中野町17-1,,34.731467,137.791333,7671,喫茶店,,,,,(053)581-9777,,,http://www.annycoffee.jp/,,,,,,,,,2020-09-18,,,339,東区
F0405,"BRILLANTE IL SUZUKI",ブリランテスズキ,,静岡県浜松市中区肴町317-17メルカートビル1階,4300932,221309,静岡県,,浜松市,中区,肴町317-17,メルカートビル1階,34.706754,137.729147,7629,その他の専門料理店,,,,,(053)596-9620,,,https://brillantesuzuki.com/,,,,,,,,,2020-09-18,,,340,中区
F0409,えびすだいこくα,エビスダイコクアルファ,,静岡県浜松市中区砂山町324-18,4300926,221309,静岡県,,浜松市,中区,砂山町324-18,,34.702388,137.733677,7699,他に分類されない飲食店,,,,,(053)458-3972,,,https://yebisudaikoku.hama-matsu.com/,,,,,,,,,2020-09-18,,,341,中区
F0411,とと錦,トトキン,,静岡県浜松市中区千歳町43,4300934,221309,静岡県,,浜松市,中区,千歳町43,,34.703323,137.729723,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)452-4834,,,,,,,,,,,,2020-09-18,,,342,中区
F0387,大衆ビストロジモン,タイシュウビストロジモン,,静岡県浜松市中区砂山町324-10福ビル1F,4300926,221309,静岡県,,浜松市,中区,砂山町324-10,福ビル1F,34.702429,137.734306,7651,酒場，ビヤホール,,,,,(053)456-2588,,,,,,,,,,,,2020-09-23,,,343,中区
F0388,Pinchos,ピンチョス,,静岡県浜松市中区肴町319-40,4300932,221309,静岡県,,浜松市,中区,肴町319-40,,34.705939,137.729195,7651,酒場，ビヤホール,,,,,(053)523-8966,,,https://pinchos.owst.jp/,,,,,,,,,2020-09-23,,,344,中区
F0391,"BISTRO CHICKEAT",ビストロチキート,,静岡県浜松市中区田町324-13田町324ビル1F,4300944,221309,静岡県,,浜松市,中区,田町324-13,田町324ビル1F,34.707154,137.730996,7651,酒場，ビヤホール,,,,,(053)454-3838,,,https://bistro-chickeat.com,,,,,,,,,2020-09-23,,,345,中区
F0395,一味也,カズミヤ,,静岡県浜松市東区半田山5-17-1,4313125,221309,静岡県,,浜松市,東区,半田山5-17-1,,34.776400,137.741195,7651,酒場，ビヤホール,,,,,(053)582-9090,,,,,,,,,,,,2020-09-23,,,346,東区
F0396,カフェ萌樹,カフェモエギ,,静岡県浜松市南区参野町68-1,4300816,221309,静岡県,,浜松市,南区,参野町68-1,,34.691609,137.755433,7629,その他の専門料理店,,,,,(053)581-7808,,,http://moegi-organic.com/,,,,,,,,,2020-09-23,,,347,南区
F0406,酒蔵　ゑびす,サカグラエビス,,静岡県浜松市中区板屋町110-17ホテルクラウンパレス浜松　地下一階,4300928,221309,静岡県,,浜松市,中区,板屋町110-17,ホテルクラウンパレス浜松　地下一階,34.706193,137.734726,7651,酒場，ビヤホール,,,,,(053)455-1822,,,,,,,,,,,,2020-09-23,,,348,中区
F0408,僕家のらーめん　おえかき別暖簾　【僕の青空まぜそば　くれよん】,ボクンチノラーメンオエカキベツノレンボクノアオゾラマゼソバクレヨン,,静岡県浜松市浜北区於呂1480-4,4340015,221309,静岡県,,浜松市,浜北区,於呂1480-4,,34.831366,137.798225,7624,ラーメン店,,,,,(053)588-3030,,,https://oekaki.hamazo.tv/,,,,,,,,,2020-09-23,,,349,浜北区
F0417,旬天Coromo,シュンテンコロモ,,静岡県浜松市中区千歳町71,4300934,221309,静岡県,,浜松市,中区,千歳町71,,34.704404,137.730669,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)455-0055,,,https://r.gnavi.co.jp/49hcp7gv0000/,,,,,,,,,2020-09-23,,,350,中区
F0418,色彩和房Wasabi,シキサイワボウワサビ,,静岡県浜松市中区田町325-384F,4300944,221309,静岡県,,浜松市,中区,田町325-38,4F,34.707639,137.729940,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)458-5585,,,https://r.gnavi.co.jp/esdknr6p0000/,,,,,,,,,2020-09-23,,,351,中区
F0419,旬菜居酒屋Aji菜,シュンサイイザカヤアジサイ,,静岡県浜松市中区肴町317-19,4300932,221309,静岡県,,浜松市,中区,肴町317-19,,34.706639,137.729416,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)456-2235,,,https://r.gnavi.co.jp/4m0kcddh0000/,,,,,,,,,2020-09-23,,,352,中区
F0420,鉄飯居酒屋Grulli,テッパンイザカヤグルリ,,静岡県浜松市中区鍛冶町319-10,4300933,221309,静岡県,,浜松市,中区,鍛冶町319-10,,34.706194,137.730099,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)456-8450,,,https://r.gnavi.co.jp/81294ra00000/,,,,,,,,,2020-09-23,,,353,中区
F0424,21世紀倶楽部（15階）,ニジュウイッセイキクラブ,,静岡県浜松市中区旭町11-1プレスタワー15F,4300927,221309,静岡県,,浜松市,中区,旭町11-1,プレスタワー15F,34.704806,137.732468,7699,他に分類されない飲食店,,,,,(053)455-2001,,,http://pt21c.shizuokaonline.com/,,,,,,,,,2020-09-23,,,354,中区
F0165,お食事処さや,オショクジドコロサヤ,,静岡県浜松市南区楊子町552-2,4300855,221309,静岡県,,浜松市,南区,楊子町552-2,,34.692932,137.743746,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)545-6547,,,https://oshokuji-dokoro-saya.therestaurant.jp/,,,,,,,,,2020-09-24,,,355,南区
F0407,スナックミスReiko,スナックミスレイコ,,静岡県浜松市中区神明町223-33ワールドプラザ浜松ビル203号,4300917,221309,静岡県,,浜松市,中区,神明町223-33,ワールドプラザ浜松ビル203号,34.708352,137.728799,7651,酒場，ビヤホール,,,,,(053)457-5150,,,,,,,,,,,,2020-09-24,,,356,中区
F0413,イタリア料理ラフェスタ,イタリアリョウリラフェスタ,,静岡県浜松市中区鴨江3-11-3,4328023,221309,静岡県,,浜松市,中区,鴨江3-11-3,,34.704823,137.710273,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)451-3306,,,https://lafesta2006.wixsite.com/lafesta,,,,,,,,,2020-09-24,,,357,中区
F0415,あらたまの湯（あらたま亭）,アラタマノユアラタマテイ,,静岡県浜松市浜北区四大地9-921,4340006,221309,静岡県,,浜松市,浜北区,四大地9-921,,34.841839,137.767083,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)582-1126,,,http://www.aratamanoyu.jp/,,,,,,,,,2020-09-24,,,358,浜北区
F0421,やきとり鳥さん,トリサン,,静岡県浜松市中区板屋町666ロイヤル板屋1階,4300928,221309,静岡県,,浜松市,中区,板屋町666,ロイヤル板屋1階,34.706967,137.735171,7629,その他の専門料理店,,,,,(053)489-8912,,,https://nb7y513.gorp.jp/,,,,,,,,,2020-09-24,,,359,中区
F0422,緑の谷のごちそうテラス　CoCoChi,ミドリノタニノゴチソウテラスココチ,,静岡県浜松市西区大久保町1173,4328006,221309,静岡県,,浜松市,西区,大久保町1173,,34.715455,137.651795,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)489-3273,,,http://ohkuvo.jp/,,,,,,,,,2020-09-24,,,360,西区
F0426,梅の花　浜松店,ウメノハナハママツテン,,静岡県浜松市西区入野町9550,4328061,221309,静岡県,,浜松市,西区,入野町9550,,34.698086,137.683930,7621,日本料理店,,,,,(053)445-4560,,,https://www.umenohana.co.jp/,,,,,,,,,2020-09-24,,,361,西区
F0428,おらが蕎麦,オラガソバ,,静岡県浜松市中区砂山町322-4メイワンビックカメラ館1F,4300926,221309,静岡県,,浜松市,中区,砂山町322-4,メイワンビックカメラ館1F,34.703224,137.733972,7631,そば・うどん店,,,,,(053)450-1510,,,,,,,,,,,,2020-09-24,,,362,中区
F0429,串とも浜松駅店,クシトモハママツエキテン,,静岡県浜松市中区砂山町322-4メイワンビックカメラ館1F,4300926,221309,静岡県,,浜松市,中区,砂山町322-4,メイワンビックカメラ館1F,34.703224,137.733972,7629,その他の専門料理店,,,,,(053)456-3939,,,,,,,,,,,,2020-09-24,,,363,中区
F0432,浜名湖うなぎ丸浜,ハマナコウナギマルハマ,,静岡県浜松市中区砂山町322-4メイワンビックカメラ館1F,4300926,221309,静岡県,,浜松市,中区,砂山町322-4,メイワンビックカメラ館1F,34.703224,137.733972,7629,その他の専門料理店,,,,,(053)454-2032,,,,,,,,,,,,2020-09-24,,,364,中区
F0445,エルカミーノ　タマチ,エルカミーノタマチ,,静岡県浜松市中区田町325-1渥美ビル3F,4300944,221309,静岡県,,浜松市,中区,田町325-1,渥美ビル3F,34.707798,137.729946,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)457-1757,,,https://elcami.info/,,,,,,,,,2020-09-24,,,365,中区
F0448,お好み焼　大石,オコノミヤキオオイシ,,静岡県浜松市中区相生町19-8,4300805,221309,静岡県,,浜松市,中区,相生町19-8,,34.706920,137.747103,7692,お好み焼き・焼きそば・たこ焼き店,,,,,(053)461-0708,,,,,,,,,,,,2020-09-24,,,366,中区
F0410,しゃぶしゃぶ温野菜　浜松原島店,シャブシャブオンヤサイハママツバラジマテン,,静岡県浜松市東区原島町315-1,4350047,221309,静岡県,,浜松市,東区,原島町315-1,,34.731486,137.771389,7621,日本料理店,,,,,(053)411-5831,,,https://www.onyasai.com/,,,,,,,,,2020-09-25,,,367,東区
F0423,うなぎのかんたろう,ウナギノカンタロウ,,静岡県浜松市中区蜆塚2-2-2,4328018,221309,静岡県,,浜松市,中区,蜆塚2-2-2,,34.714033,137.708914,7621,日本料理店,,,,,(053)455-8823,,,https://kantarow.p-kit.com/,,,,,,,,,2020-09-25,,,368,中区
F0425,居酒屋達の子,イザカヤタツノコ,,静岡県浜松市中区佐鳴台4-22-5大石店舗1号,4328021,221309,静岡県,,浜松市,中区,佐鳴台4-22-5,大石店舗1号,34.710356,137.701439,7651,酒場，ビヤホール,,,,,(053)523-8546,,,,,,,,,,,,2020-09-25,,,369,中区
F0433,タリーズコーヒーメイワンエキマチ店,タリーズコーヒーメイワンエキマチテン,,静岡県浜松市中区砂山町6-1メイワンエキマチイースト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチイースト1F,34.704168,137.734452,7671,喫茶店,,,,,(053)459-3210,,,,,,,,,,,,2020-09-25,,,370,中区
F0434,杵屋浜松メイワンエキマチ店,キネヤハママツメイワンエキマチテン,,静岡県浜松市中区砂山町6-1メイワンエキマチイースト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチイースト1F,34.704168,137.734452,7631,そば・うどん店,,,,,(053)457-4875,,,,,,,,,,,,2020-09-25,,,371,中区
F0435,喫茶と洋食トリコ,キッサトヨウショクトリコ,,静岡県浜松市中区砂山町6-1メイワンエキマチイースト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチイースト1F,34.704168,137.734452,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)457-4877,,,,,,,,,,,,2020-09-25,,,372,中区
F0436,八丁蔵エキマチ店,ハッチョウグラエキマチテン,,静岡県浜松市中区砂山町6-1メイワンエキマチイースト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチイースト1F,34.704168,137.734452,7651,酒場，ビヤホール,,,,,(053)413-1232,,,,,,,,,,,,2020-09-25,,,373,中区
F0437,茶土家,チャット,,静岡県浜松市中区砂山町6-1メイワンエキマチイースト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチイースト1F,34.704168,137.734452,7651,酒場，ビヤホール,,,,,(053)452-3009,,,,,,,,,,,,2020-09-25,,,374,中区
F0438,わいんや,ワインヤ,,静岡県浜松市中区砂山町6-1メイワンエキマチイースト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチイースト1F,34.704168,137.734452,7651,酒場，ビヤホール,,,,,(053)454-8259,,,,,,,,,,,,2020-09-25,,,375,中区
F0444,浜松甲羅本店,ハママツコウラホンテン,,静岡県浜松市中区鴨江2丁目49-20,4328023,221309,静岡県,,浜松市,中区,鴨江2丁目49-20,,34.704439,137.709861,7621,日本料理店,,,,,(053)456-0051,,,http://www.kora-honten.jp/c_hamamatsu/index.html,,,,,,,,,2020-09-25,,,376,中区
F0451,八百徳駅南店,ヤオトクエキナンテン,,静岡県浜松市中区砂山町325-7,4300926,221309,静岡県,,浜松市,中区,砂山町325-7,,34.702902,137.735263,7629,その他の専門料理店,,,,,(053)452-5755,,,,,,,,,,,,2020-09-25,,,377,中区
F0439,ドトールコーヒーショップ浜松メイワン店,ドトールコーヒーショップハママツメイワンテン,,静岡県浜松市中区砂山町6-1メイワンエキマチウエスト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチウエスト1F,34.704168,137.734452,7671,喫茶店,,,,,(053)450-7361,,,,,,,,,,,,2020-09-28,,,378,中区
F0440,一風堂JR浜松店,イップウドウジェイアールハママツテン,,静岡県浜松市中区砂山町6-1メイワンエキマチウエスト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチウエスト1F,34.704168,137.734452,7624,ラーメン店,,,,,(053)456-2772,,,,,,,,,,,,2020-09-28,,,379,中区
F0441,石松餃子JR浜松駅店,イシマツギョウザジェイアールハママツエキテン,,静岡県浜松市中区砂山町6-1メイワンエキマチウエスト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチウエスト1F,34.704168,137.734452,7623,中華料理店,,,,,(053)415-8655,,,,,,,,,,,,2020-09-28,,,380,中区
F0442,沼津魚がし鮨メイワン浜松店,ヌマヅウオガシズシメイワンハママツテン,,静岡県浜松市中区砂山町6-1メイワンエキマチウエスト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチウエスト1F,34.704168,137.734452,7641,すし店,,,,,(053)413-2111,,,,,,,,,,,,2020-09-28,,,381,中区
F0443,デリフランス,デリフランス,,静岡県浜松市中区砂山町6-1メイワンエキマチウエスト1F,4300926,221309,静岡県,,浜松市,中区,砂山町6-1,メイワンエキマチウエスト1F,34.704168,137.734452,7699,他に分類されない飲食店,,,,,(053)457-4811,,,,,,,,,,,,2020-09-28,,,382,中区
F0450,スナックポルシェ,スナックポルシェ,,静岡県浜松市中区早出町1222-1,4350054,221309,静岡県,,浜松市,中区,早出町1222-1,,34.729752,137.751595,7661,バー，キャバレー，ナイトクラブ,,,,,(053)463-3433,,,,,,,,,,,,2020-09-28,,,383,中区
F0452,茶ッ葉屋,チャッパヤ,,静岡県浜松市東区西塚町313-4,4350044,221309,静岡県,,浜松市,東区,西塚町313-4,,34.719550,137.754307,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)411-7795,,,https://www.chappaya.com/,,,,,,,,,2020-09-28,,,384,東区
F0454,そば処　せせらぎ,セセラギ,,静岡県浜松市中区肴町319-42中山ビル2F,4300932,221309,静岡県,,浜松市,中区,肴町319-42,中山ビル2F,34.706020,137.729356,7631,そば・うどん店,,,,,(053)455-2011,,,,,,,,,,,,2020-09-28,,,385,中区
F0455,割烹桂川,カッポウカツラガワ,,静岡県浜松市中区上島2-24-21,4338122,221309,静岡県,,浜松市,中区,上島2-24-21,,34.741589,137.744874,7621,日本料理店,,,,,(053)475-5266,,,https://www.katsuragawa-hamamatsu.co.jp/,,,,,,,,,2020-09-28,,,386,中区
F0270,民宿　食事処　松一,ミンシュクオショクジドコロマツイチ,,静岡県浜松市西区平松町2033,4311203,221309,静岡県,,浜松市,西区,平松町2033,,34.761273,137.634994,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)487-1414,,,,,,,,,,,,2020-09-29,,,387,西区
F0459,うな新,ウナシン,,静岡県浜松市浜北区平口2669-1,4340041,221309,静岡県,,浜松市,浜北区,平口2669-1,,34.793594,137.762679,7621,日本料理店,,,,,(053)587-3947,,,https://www5.hp-ez.com/hp/unashin/,,,,,,,,,2020-09-29,,,388,浜北区
F0460,"LOLO cafe",ロロカフェ,,静岡県浜松市中区中央1-4-10パークアベニュー1F,4300929,221309,静岡県,,浜松市,中区,中央1-4-10,パークアベニュー1F,34.712706,137.736144,7671,喫茶店,,,,,(053)455-6639,,,https://www.lo-company.jp/,,,,,,,,,2020-09-29,,,389,中区
F0461,旬菜庵いつき,シュンサイアンイツキ,,静岡県浜松市中区曳馬5-1-1,4300901,221309,静岡県,,浜松市,中区,曳馬5-1-1,,34.730709,137.735713,7621,日本料理店,,,,,(053)415-9774,,,https://hitosara.com/0006037051/,,,,,,,,,2020-09-29,,,390,中区
F0462,台湾点心房,タイワンテンシンボウ,,静岡県浜松市西区志都呂町2-37-1イオンモール浜松志都呂2F,4328066,221309,静岡県,,浜松市,西区,志都呂町2-37-1,イオンモール浜松志都呂2F,34.696654,137.650130,7623,中華料理店,,,,,(053)401-3988,,,,,,,,,,,,2020-09-29,,,391,西区
F0414,イタリア料理ラフェスタ板屋町店,イタリアリョウリラフェスタイタヤマチテン,,静岡県浜松市中区板屋町104-1Dグラフォート浜松D'sタワー,4300928,221309,静岡県,,浜松市,中区,板屋町104-1,Dグラフォート浜松D'sタワー,34.706392,137.732862,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)528-7216,,,https://lafesta2006.wixsite.com/lafesta-itaya,,,,,,,,,2020-09-30,,,392,中区
F0466,火の蔵　有玉店,ヒノクラアリタマテン,,静岡県浜松市東区有玉北町1800,4313121,221309,静岡県,,浜松市,東区,有玉北町1800,,34.762601,137.754191,7625,焼き肉店,,,,,(053)432-0029,,,https://www.ushinokura.net/,,,,,,,,,2020-09-30,,,393,東区
F0467,ちょこらむ,チョコラム,,静岡県浜松市南区本郷町31-2,4300812,221309,静岡県,,浜松市,南区,本郷町31-2,,34.697503,137.759267,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)465-2501,,,,,,,,,,,,2020-09-30,,,394,南区
F0469,勝美　三ヶ日インター店,カツミミッカビインターテン,,静岡県浜松市北区三ヶ日町都筑1313-660,4311402,221309,静岡県,,浜松市,北区,三ヶ日町都筑1313-660,,34.795379,137.584451,7629,その他の専門料理店,,,,,(053)526-1035,,,,,,,,,,,,2020-09-30,,,395,北区
