店舗ID,店舗_名称,店舗_名称_カナ,店舗_概要,店舗_所在地,店舗_所在地_郵便番号,店舗_所在地_全国地方公共団体コード,店舗_所在地_都道府県名,店舗_所在地_郡名,店舗_所在地_市区町村名,店舗_所在地_行政区名,店舗_所在地_町域名以降,店舗_所在地_建物名,店舗_所在地_緯度,店舗_所在地_経度,店舗_業態_産業分類コード,店舗_業態_産業分類名,店舗_画像,店舗_タグ,店舗_営業時間,店舗_定休日,店舗_電話番号,店舗_FAX番号,店舗_メールアドレス,店舗_Webサイト,店舗_地図,店舗_Twitter,店舗_Facebookページ,店舗_インスタグラム,店舗_LINE,店舗_テイクアウト対応フラグ,店舗_デリバリー対応フラグ,店舗_閉店フラグ,店舗_登録日,店舗_最終更新日,店舗_補足
F0133,アスール,アスール,,静岡県浜松市中区田町315-22ぬいやビル2階 北,4300944,221309,静岡県,,浜松市,中区,田町315-22,ぬいやビル2階 北,34.707967,137.729398,7651,酒場，ビヤホール,,,,,(053)456-2513,,,,,,,,,,,,2020-08-24,,
F0128,ワイン&キッチンHACHI,ワインアンドキッチンハチ,,静岡県浜松市中区元城町222-25アルスビル2階,4300946,221309,静岡県,,浜松市,中区,元城町222-25,アルスビル2階,34.708850,137.728542,7629,その他の専門料理店,,,,,(053)522-9243,,,,,,,,,,,,2020-08-21,,
F0118,手打ち蕎麦屋のこんくらい,テウチソバヤノコンクライ,,静岡県浜松市中区板屋町101-4地研ビル板屋町2階南,4300928,221309,静岡県,,浜松市,中区,板屋町101-4,地研ビル板屋町2階南,34.707958,137.733455,7631,そば・うどん店,,,,,(053)454-0920,,,http://konkurai.com/,,,,,,,,,2020-08-26,,
F0103,ぱんぢぃー,バンジー,,静岡県浜松市中区葵西4丁目1ー1東側,4338111,221309,静岡県,,浜松市,中区,葵西4-1-1,東側,34.773652,137.708547,7651,酒場，ビヤホール,,,,,(053)438-9383,,,,,,,,,,,,2020-08-26,,
F0095,てらきん田町店,テラキンタマチテン,,静岡県浜松市中区田町324-14,4300944,221309,静岡県,,浜松市,中区,田町324-14,,34.707085,137.731022,7651,酒場，ビヤホール,,,,,(053)413-1118,,,https://www.cocoro-inc.net/,,,,,,,,,2020-08-25,,
F0093,UOTEN第一通り店,ウオテンダイチドオリテン,,静岡県浜松市中区田町329-12,4300944,221309,静岡県,,浜松市,中区,田町329-12,,34.707116,137.731652,7651,酒場，ビヤホール,,,,,(053)415-8388,,,https://www.cocoro-inc.net/,,,,,,,,,2020-08-25,,
F0092,てんくう浜松モール街店,テンクウモールガイテン,,静岡県浜松市中区鍛冶町135-1 B-2ビルB1F,4300933,221309,静岡県,,浜松市,中区,鍛冶町135-1,B-2ビルB1F,34.705047,137.731011,7651,酒場，ビヤホール,,,,,(053)457-6444,,,https://www.cocoro-inc.net/,,,,,,,,,2020-08-25,,
F0088,日本酒少量飲み比べの店　酒蔵,ニホンシュショウリョウノミクラベノミセサカグラ,,静岡県浜松市中区佐鳴台3丁目28の18,4328021,221309,静岡県,,浜松市,中区,佐鳴台3-28-18,,34.704906,137.694902,7651,酒場，ビヤホール,,,,,(053)448-1791,,,,,,,,,,,,2020-08-21,,
F0083,一味真　ル・グリル,イチミシンルグリル,,静岡県浜松市中区元城町218-1リッチモンドホテル浜松1F,4300946,221309,静岡県,,浜松市,中区,元城町218-1,リッチモンドホテル浜松1F,34.709079,137.727840,7629,その他の専門料理店,,,,,(053)450-5571,,,,,,,,,,,,2020-08-24,,
F0080,てんくう浜松有楽街店,テンクウハママツユウラクガイテン,,静岡県浜松市中区田町316-30,4300944,221309,静岡県,,浜松市,中区,田町316-30,,34.707340,137.729743,7651,酒場，ビヤホール,,,,,(053)453-7675,,,https://www.cocoro-inc.net/,,,,,,,,,2020-08-25,,
F0294,濱松たんと有楽街店,ハママツタントユウラクガイテン,,静岡県浜松市中区肴町318-17,4300932,221309,静岡県,,浜松市,中区,肴町318-17,,34.706306,137.729841,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)458-2511,,,http://www.tanto-otabe.com/,,,,,,,,,2020-09-03,,
F0293,浜松たんと浜松駅南口2号店,ハママツタントハママツエキミナミグチニゴウテン,,静岡県浜松市中区砂山町357-29,4300926,221309,静岡県,,浜松市,中区,砂山町357-29,,34.702108,137.734293,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)455-5777,,,http://www.tanto-otabe.com/,,,,,,,,,2020-09-03,,
F0292,濱松たんと浜松駅南口店,ハママツタントハママツエキミナミグチテン,,静岡県浜松市中区砂山町325-4ザ・ゲンズ・ホテル1階,4300926,221309,静岡県,,浜松市,中区,砂山町325-4,ザ・ゲンズ・ホテル1階,34.702710,137.734580,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)458-0777,,,http://www.tanto-otabe.com/,,,,,,,,,2020-09-03,,
F0286,日本料理　繁松,ニホンリョウリシゲマツ,,静岡県浜松市中区千歳町58-1,4300934,221309,静岡県,,浜松市,中区,千歳町58-1,,34.704164,137.730178,7621,日本料理店,,,,,(053)453-2591,,,,,,,,,,,,2020-09-03,,
F0285,旬の料理大内,シュンノリョウリオオウチ,,静岡県浜松市中区板屋町672FOOD昴ビル2階,4300928,221309,静岡県,,浜松市,中区,板屋町672,FOOD昴ビル2階,34.706980,137.735746,7621,日本料理店,,,,,(053)452-8600,,,,,,,,,,,,2020-09-03,,
F0281,日本料理三須,ニホンリョウリミス,,静岡県浜松市中区田町331-11Aビル2階,4300944,221309,静岡県,,浜松市,中区,田町331-11,Aビル2階,34.706338,137.732080,7621,日本料理店,,,,,(053)488-6922,,,https://wr-salt.com/misu/,,,,,,,,,2020-09-03,,
F0030,レストラン食楽工房,レストランショクラクコウボウ,,静岡県浜松市北区細江町気賀2551-203,4311305,221309,静岡県,,浜松市,北区,細江町気賀2551-203,,34.787585,137.677323,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)522-5312,,,,,,,,,,,,2020-09-03,,
F0278,くずし之助,クズシノスケ,,静岡県浜松市中区千歳町39 39ビル　1F,4300934,221309,静岡県,,浜松市,中区,千歳町39,39ビル　1F,34.704727,137.729927,7621,日本料理店,,,,,(053)488-4939,,,https://www.chilldiner.com/,,,,,,,,,2020-09-03,,
F0013,魚幸,ウオコウ,,静岡県浜松市中区田町232-4,4300944,221309,静岡県,,浜松市,中区,田町232-4,,34.709424,137.731861,7651,酒場，ビヤホール,,,,,(053)452-6457,,,,,,,,,,,,2020-09-02,,
F0277,炭焼あべ,スミヤキアベ,,静岡県浜松市中区伝馬町313-28 3番地ビル1階,4300935,221309,静岡県,,浜松市,中区,伝馬町313-28,3番地ビル1階,34.706458,137.728342,7651,酒場，ビヤホール,,,,,(053)453-3000,,,,,,,,,,,,2020-09-01,,
F0274,関西風料理くぜ,カンサイフウリョウリクゼ,,静岡県浜松市中区鴨江3-53-15菊一本店2階,4328023,221309,静岡県,,浜松市,中区,鴨江3-53-15,菊一本店2階,34.709177,137.711920,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)452-3924,,,,,,,,,,,,2020-09-01,,
F0273,かに道楽浜松店,カニドウラクハママツテン,,静岡県浜松市中区田町325-37,4300944,221309,静岡県,,浜松市,中区,田町325-37,,34.707725,137.730159,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)456-1155,,,https://douraku.co.jp/kansai/hamamatsu/,,,,,,,,,2020-09-01,,
F0272,かかし浜松店,カカシハママツテン,,静岡県浜松市西区志都呂2-37-1イオンモール浜松志都呂2F,4328069,221309,静岡県,,浜松市,西区,志都呂2-37-1,イオンモール浜松志都呂2F,34.697180,137.649390,7611,食堂，レストラン（専門料理店を除く）,,,,,(055)415-1305,,,https://hamamatsushitoro-aeonmall.com/shop/detail/295,,,,,,,,,2020-09-02,,
F0269,Ocean bistro twuku twuku,オーシャンビストロトゥクトゥク,,静岡県浜松市中区板屋町672FOOD昴ビル1F,4300928,221309,静岡県,,浜松市,中区,板屋町672,FOOD昴ビル1F,34.706980,137.735746,7629,その他の専門料理店,,,,,(053)454-0404,,,https://www.chilldiner.com/,,,,,,,,,2020-09-01,,
F0267,ミウミ,ミウミ,,静岡県浜松市中区田町329-20,4300944,221309,静岡県,,浜松市,中区,田町329-20,,34.707192,137.731379,7651,酒場，ビヤホール,,,,,(053)455-5656,,,http://upheart.jp/,,,,,,,,,2020-09-01,,
F0266,なの蔵,ナノクラ,,静岡県浜松市中区田町329-18,4300944,221309,静岡県,,浜松市,中区,田町329-18,,34.707093,137.731336,7651,酒場，ビヤホール,,,,,(053)455-2831,,,http://upheart.jp/,,,,,,,,,2020-09-01,,
F0265,居酒屋　いっぽ,イザカヤイッポ,,静岡県浜松市中区田町316-30ブルーノアビル2F,4300944,221309,静岡県,,浜松市,中区,田町316-30,ブルーノアビル2F,34.707340,137.729743,7651,酒場，ビヤホール,,,,,(053)525-7838,,,,,,,,,,,,2020-08-31,,
F0264,甘酒専門店麹家LABOand STORE,アマザケセンモンテンコウジヤラボアンドストア,,静岡県浜松市西区雄踏町宇布見8129,4310102,221309,静岡県,,浜松市,西区,雄踏町宇布見8129,,34.700714,137.630576,7671,喫茶店,,,,,(050)5851-6463,,,https://amazakekoujiya.amebaownd.com/,,,,,,,,,2020-09-02,,
F0263,Natural Dining ぜん,ナチュラルダイニングゼン,,静岡県浜松市中区砂山町322-7仲秋ビル1F,4300926,221309,静岡県,,浜松市,中区,砂山町322-7,仲秋ビル1F,34.702845,137.734194,7651,酒場，ビヤホール,,,,,(053)455-1831,,,http://upheart.jp/,,,,,,,,,2020-08-31,,
F0261,美濃路　浜松領家店,ミノジハママツリョウケテン,,静岡県浜松市中区領家2-23-43,4300852,221309,静岡県,,浜松市,中区,領家2-23-43,,34.696034,137.752506,7651,酒場，ビヤホール,,,,,(053)411-1129,,,,,,,,,,,,2020-08-31,,
F0260,串カツくまた,クシカツクマタ,,静岡県浜松市中区板屋町102-17,4300928,221309,静岡県,,浜松市,中区,板屋町102-17,,34.707164,137.732939,7651,酒場，ビヤホール,,,,,(053)454-7727,,,https://www.hotpepper.jp/strJ001200408/,,,,,,,,,2020-09-02,,
F0259,魚魯魚魯,ギロギロ,,静岡県浜松市中区伝馬町312-20,4300935,221309,静岡県,,浜松市,中区,伝馬町312-20,,34.705584,137.728574,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)455-6011,,,https://www.chilldiner.com/,,,,,,,,,2020-08-31,,
F0258,ちゃん影,チャンカゲ,,静岡県浜松市中区田町329-8マルマンビル1F,4300944,221309,静岡県,,浜松市,中区,田町329-8,マルマンビル1F,34.707130,137.732173,7651,酒場，ビヤホール,,,,,(053)456-1518,,,,,,,,,,,,2020-08-28,,
F0257,カフェレイ大正館,カフェレイタイショウカン,,静岡県浜松市南区白羽町276-3,4300846,221309,静岡県,,浜松市,南区,白羽町276-3,,34.680644,137.733741,7671,喫茶店,,,,,(053)442-2889,,,,,,,,,,,,2020-08-31,,
F0256,和食処あつみ,ワショクドコロアツミ,,静岡県浜松市中区高丘西4-9-18,4338118,221309,静岡県,,浜松市,中区,高丘西4-9-18,,34.763229,137.695379,7621,日本料理店,,,,,(053)436-7702,,,,,,,,,,,,2020-09-01,,
F0255,パブしるふれい,パブシルフレイ,,静岡県浜松市中区肴町312-162F,4300932,221309,静岡県,,浜松市,中区,肴町312-16,2F,34.705579,137.729085,7651,酒場，ビヤホール,,,,,(053)454-5181,,,,,,,,,,,,2020-09-02,,
F0252,鶏鯱,トリシャチ,,静岡県浜松市中区田町231-8,4300944,221309,静岡県,,浜松市,中区,田町231-8,,34.709120,137.732761,7651,酒場，ビヤホール,,,,,(053)454-5670,,,,,,,,,,,,2020-08-28,,
F0250,D-believe,ディービリーブ,,静岡県浜松市中区肴町319-35山彦ビル2F,4300932,221309,静岡県,,浜松市,中区,肴町319-35,山彦ビル2F,34.705725,137.729323,7651,酒場，ビヤホール,,,,,(053)451-1766,,,,,,,,,,,,2020-09-01,,
F0249,六文銭,ロクモンセン,,静岡県浜松市中区田町377,4300944,221309,静岡県,,浜松市,中区,田町377,,34.708686,137.731091,7651,酒場，ビヤホール,,,,,(053)455-6778,,,,,,,,,,,,2020-08-28,,
F0248,セルフィッシュ,セルフィッシュ,,静岡県浜松市中区肴町318-27ymビル1F,4300932,221309,静岡県,,浜松市,中区,肴町318-27,ymビル1F,34.706255,137.729180,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)458-7859,,,,,,,,,,,,2020-08-28,,
F0247,五味八珍　天王店,テンノウテン,,静岡県浜松市東区天王町1504-1,4350052,221309,静岡県,,浜松市,東区,天王町1504-1,,34.734386,137.771554,7623,中華料理店,,,,,(053)464-9264,,,http://www.gomihattin.co.jp/shop/tennou.html,,,,,,,,,2020-08-31,,
F0246,エデイのハワイアンカフェ,エデイノハワイアンカフェ,,静岡県浜松市中区住吉1-43-9,4300906,221309,静岡県,,浜松市,中区,住吉1-43-9,,34.731187,137.721868,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)523-7705,,,,,,,,,,,,2020-08-31,,
F0244,きんぐーぎどら。,キングギドラ,,静岡県浜松市中区池町224-2,4300945,221309,静岡県,,浜松市,中区,池町224-2,,34.708735,137.729977,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)454-8525,,,,,,,,,,,,2020-08-28,,
F0242,割烹田中,カッポウタナカ,,静岡県浜松市中区千歳町54-4,4300934,221309,静岡県,,浜松市,中区,千歳町54-4,,34.703960,137.730301,7621,日本料理店,,,,,(053)454-6947,,,,,,,,,,,,2020-08-31,,
F0241,味市場,アジイチバ,,静岡県浜松市南区三島町1447,4300853,221309,静岡県,,浜松市,南区,三島町1447,,34.689456,137.751067,7651,酒場，ビヤホール,,,,,(053)442-4141,,,,,,,,,,,,2020-08-28,,
F0240,レストランパブプリティー,レストランパブプリティー,,静岡県浜松市中区肴町322-20 松竹ビル7F,4300932,221309,静岡県,,浜松市,中区,肴町322-20,松竹ビル7F,34.706761,137.730384,7651,酒場，ビヤホール,,,,,(053)451-1888,,,,,,,,,,,,2020-08-31,,
F0239,VANSANザザシティ浜松店,ヴァンサンザザシティハママツテン,,静岡県浜松市中区鍛冶町15ザザシティ西館1F,4300933,221309,静岡県,,浜松市,中区,鍛冶町15,ザザシティ西館1F,34.704854,137.729186,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)489-8510,,,,,,,,,,,,2020-09-01,,
F0229,太郎丸,タロウマル,,静岡県浜松市中区田町322-3,4300944,221309,静岡県,,浜松市,中区,田町322-3,,34.706939,137.730471,7651,酒場，ビヤホール,,,,,(053)453-8234,,,,,,,,,,,,2020-08-28,,
F0228,グレースガーデン,グレースガーデン,,静岡県浜松市北区三方原町2157-2,4338105,221309,静岡県,,浜松市,北区,三方原町2157-2,,34.788899,137.704605,7699,他に分類されない飲食店,,,,,(053)525-8730,,,http://npotcc.com/gracegarden/,,,,,,,,,2020-09-02,,
F0224,お食事処 三河屋,ミカワヤ,,静岡県浜松市北区細江町気賀92-2-2,4311305,221309,静岡県,,浜松市,北区,細江町気賀92-2-2,,34.808663,137.655507,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)523-0077,,,,,,,,,,,,2020-08-28,,
F0223,バー稲,バーイネ,,静岡県浜松市中区田町316-14喜乃八ビル1階,4300944,221309,静岡県,,浜松市,中区,田町316-14,喜乃八ビル1階,34.707337,137.729444,7661,バー，キャバレー，ナイトクラブ,,,,,(053)451-1007,,,,,,,,,,,,2020-08-31,,
F0216,ロシア料理　サモワァール,ロシアリョウリサモワール,,静岡県浜松市中区平田町58-1,4328031,221309,静岡県,,浜松市,中区,平田町58-1,,34.702879,137.730018,7629,その他の専門料理店,,,,,(053)453-6507,,,,,,,,,,,,2020-08-28,,
F0197,きまぐれカフェモアモア,キマグレカフェモアモア,,静岡県浜松市西区雄踏町宇布見9240-1,4310102,221309,静岡県,,浜松市,西区,雄踏町宇布見9240-1,,34.705622,137.622588,7671,喫茶店,,,,,(053)401-7089,,,https://mormoryuto.hamazo.tv/,,,,,,,,,2020-08-28,,
F0180,ドトールコーヒーショップEneJet柳通り新津店,ドトールコーヒーショップエネジェットヤナギドオリシンツテン,,静岡県浜松市中区新津町637-1,4300911,221309,静岡県,,浜松市,中区,新津町637-1,,34.720057,137.741126,7671,喫茶店,,,,,(053)411-7761,,,https://www.entetsusekiyu.co.jp/carlife/ss/shinzu/,,,,,,,,,2020-08-28,,
F0175,割烹八百吉,カッポウヤオキチ,,静岡県浜松市中区伝馬町67,4300935,221309,静岡県,,浜松市,中区,伝馬町67,,34.703622,137.729040,7621,日本料理店,,,,,(053)452-4374,,,https://kappoyaokichi.owst.jp/,,,,,,,,,2020-08-31,,
F0345,ほろ酔い村映里砂,ホロヨイムラエリサ,,静岡県浜松市中区肴町317-9間渕ビル3F,4300932,221309,静岡県,,浜松市,中区,肴町317-9,間渕ビル3F,34.706761,137.729879,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)454-7294,,,https://erisa7294.owst.jp/,,,,,,,,,2020-09-10,,
F0341,べったくDINING　月のうさぎ,ベッタクダイニングツキノウサギ,,静岡県浜松市中区板屋町100-1-1F,4300928,221309,静岡県,,浜松市,中区,板屋町100-1-1F,,34.708347,137.733334,7651,酒場，ビヤホール,,,,,(053)451-6007,,,,,,,,,,,,2020-09-10,,
F0340,ワインバーみるく,ワインバーミルク,,静岡県浜松市中区千歳町79大正ビル2階,4300934,221309,静岡県,,浜松市,中区,千歳町79,大正ビル2階,34.703370,137.730497,7661,バー，キャバレー，ナイトクラブ,,,,,(053)454-7608,,,,,,,,,,,,2020-09-10,,
F0339,くらぼらとりー,クラボラトリー,,静岡県浜松市中区成子町138-2デルフィオーレ1階,4328035,221309,静岡県,,浜松市,中区,成子町138-2,デルフィオーレ1階,34.700658,137.728267,7651,酒場，ビヤホール,,,,,(053)543-5755,,,,,,,,,,,,2020-09-10,,
F0335,味ごよみ　げんでん,アジゴヨミゲンデン,,静岡県浜松市東区上西町1331-1,4350048,221309,静岡県,,浜松市,東区,上西町1331-1,,34.724381,137.768313,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)571-1456,,,https://genden.owst.jp/,,,,,,,,,2020-09-10,,
F0331,稲作,イナサク,,静岡県浜松市中区田町329-9,4300944,221309,静岡県,,浜松市,中区,田町329-9,,34.707144,137.731924,7651,酒場，ビヤホール,,,,,(053)455-1739,,,,,,,,,,,,2020-09-09,,
F0330,Soul Noodles THE R&R,ソウルヌードルズジアールアンドアール,,静岡県浜松市東区篠ケ瀬町417-7,4350042,221309,静岡県,,浜松市,東区,篠ケ瀬町417-7,,34.730802,137.774519,7624,ラーメン店,,,,,(053)545-7705,,,,,,,,,,,,2020-09-09,,
F0329,bar ri otto,バルリオット,,静岡県浜松市中区鍛冶町2-9,4300933,221309,静岡県,,浜松市,中区,鍛冶町2-9,,34.703211,137.732242,7629,その他の専門料理店,,,,,(053)489-5188,,,http://bar-ri-otto.com/,,,,,,,,,2020-09-09,,
F0328,BAR burton.,バーバートン,,静岡県浜松市中区肴町322-22ぬい屋第2ビル3階,4300932,221309,静岡県,,浜松市,中区,肴町322-22,ぬい屋第2ビル3階,34.706761,137.730384,7661,バー，キャバレー，ナイトクラブ,,,,,(053)458-8373,,,,,,,,,,,,2020-09-09,,
F0327,田や,タヤ,,静岡県浜松市北区新都田2-31-6,4312103,221309,静岡県,,浜松市,北区,新都田2-31-6,,34.815715,137.741144,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)428-7885,,,,,,,,,,,,2020-09-09,,
F0326,すっぽん料理　富久竹,フクタケ,,静岡県浜松市中区田町231-5,4300944,221309,静岡県,,浜松市,中区,田町231-5,,34.709108,137.732394,7621,日本料理店,,,,,(053)452-0995,,,https://r.gnavi.co.jp/n576100/,,,,,,,,,2020-09-09,,
F0325,味の匠　山田,アジノタクミヤマダ,,静岡県浜松市中区千歳町118,4300934,221309,静岡県,,浜松市,中区,千歳町118,,34.703168,137.728991,7621,日本料理店,,,,,(053)455-7775,,,,,,,,,,,,2020-09-04,,
F0324,浜八景,ハマハッケイ,,静岡県浜松市西区舘山寺町1891華咲の湯　2F,4311209,221309,静岡県,,浜松市,西区,舘山寺町1891,華咲の湯　2F,34.763174,137.615427,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)484-2780,,,https://www.harasho-corporation.com/,,,,,,,,,2020-09-09,,
F0322,しゃぶせい,シャブセイ,,静岡県浜松市中区板屋町111-2浜松アクトタワーB1,4307790,221309,静岡県,,浜松市,中区,板屋町111-2,浜松アクトタワーB1,34.705231,137.735788,7629,その他の専門料理店,,,,,(053)488-7333,,,https://hamamatsu-shabusei.gorp.jp/,,,,,,,,,2020-09-10,,
F0321,味と酒 えびいち,エビイチ,,静岡県浜松市中区海老塚1-5-24,4328033,221309,静岡県,,浜松市,中区,海老塚1-5-24,,34.700357,137.730366,7621,日本料理店,,,,,(053)454-4169,,,,,,,,,,,,2020-09-08,,
F0320,やんばば,ヤンババ,,静岡県浜松市中区早出町1244-3,4350054,221309,静岡県,,浜松市,中区,早出町,,34.733307,137.750194,7661,バー，キャバレー，ナイトクラブ,,,,,(053)464-5163,,,,,,,,,,,,2020-09-10,,
F0310,五味八珍　舞阪店,カブシキカイシャゴミハッチンマイサカテン,,静岡県浜松市西区舞阪町浜田778,4310213,221309,静岡県,,浜松市,西区,舞阪町浜田778,,34.681491,137.626769,7623,中華料理店,,,,,(053)596-5460,,,http://www.gomihattin.co.jp/shop/maisaka.html,,,,,,,,,2020-09-10,,
F0309,静岡県立観音山少年自然の家食堂,シズオカケンリツカンノンヤマショウネンシゼンノイエショクドウ,,静岡県浜松市北区引佐町東久留女木字観音山,4312201,221309,静岡県,,浜松市,北区,引佐町東久留女木字観音山,,34.890812,137.723681,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)545-0111,,,,,,,,,,,,2020-09-08,,
F0308,五味八珍　内野店,カブシキカイシャゴミハッチンウチノテン,,静岡県浜松市浜北区内野2644-1,4340044,221309,静岡県,,浜松市,浜北区,内野2644-1,,34.781167,137.761679,7623,中華料理店,,,,,(053)586-9700,,,http://www.gomihattin.co.jp/shop/uchino.html,,,,,,,,,2020-09-09,,
F0307,五味八珍　三方原店,ミカタバラテン,,静岡県浜松市北区東三方町159-2,4338104,221309,静岡県,,浜松市,北区,東三方町159-2,,34.777528,137.729866,7623,中華料理店,,,,,(053)436-4127,,,http://www.gomihattin.co.jp/shop/mikatabara.html,,,,,,,,,2020-09-09,,
F0306,個室居酒屋　宴丸　浜松駅前店,コシツイザカヤエンマルハママツエキマエテン,,静岡県浜松市中区旭町10-8浜松駅前ビルB1,4300927,221309,静岡県,,浜松市,中区,旭町10-8,浜松駅前ビルB1,34.704989,137.732978,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)457-7188,,,,,,,,,,,,2020-09-07,,
F0305,珈琲館浜松アクトプラザ店,コーヒーカンハママツアクトプラザテン,,静岡県浜松市中区板屋町111-2,4307719,221309,静岡県,,浜松市,中区,板屋町111-2,,34.705231,137.735788,7671,喫茶店,,,,,(053)459-1271,,,,,,,,,,,,2020-09-08,,
F0304,うおなみ,ウオナミ,,静岡県浜松市北区細江町気賀9554-2,4311305,221309,静岡県,,浜松市,北区,細江町気賀9554-2,,34.801496,137.631933,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)522-1069,,,,,,,,,,,,2020-09-08,,
F0303,BEBER,ベベル,,静岡県浜松市中区田町331-13小澤第一ビル一階南,4300944,221309,静岡県,,浜松市,中区,田町331-13,小澤第一ビル一階南,34.706245,137.731976,7661,バー，キャバレー，ナイトクラブ,,,,,(053)452-5711,,,https://r.gnavi.co.jp/envn9btw0000/?utm_id=type-t_dsa-tenpo_bp-9itm0-rm0_y_lis&yclid=YSS.EAIaIQobChMIwqekvI3M6wIVSqSWCh2QJgzaEAAYASAAEgKHkfD_BwE,,,,,,,,,2020-09-08,,
F0302,和食会席レストラン　花扇,ワショクカイセキレストランハナオウギ,,静岡県浜松市西区舘山寺町1891,4311209,221309,静岡県,,浜松市,西区,舘山寺町1891,,34.763174,137.615427,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)487-1111,,,https://wellseason.jp/,,,,,,,,,2020-09-09,,
F0301,BAR RUOKA,バールルオカ,,静岡県浜松市中区泉2-4-24,4338124,221309,静岡県,,浜松市,中区,泉2-4-24,,34.743604,137.723803,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)475-5728,,,https://www.barruoka.com/,,,,,,,,,2020-09-08,,
F0300,バイキングレストラン　るぴなす,バイキングレストランルピナス,,静岡県浜松市西区舘山寺町1891,4311209,221309,静岡県,,浜松市,西区,舘山寺町1891,,34.763174,137.615427,7699,他に分類されない飲食店,,,,,(053)487-1111,,,https://wellseason.jp/,,,,,,,,,2020-09-09,,
F0299,焼鳥 鳥ばっちり,ヤキトリトバッチリ,,静岡県浜松市中区肴町318-23中村ビル1階,4300932,221309,静岡県,,浜松市,中区,肴町318-23,中村ビル1階,34.706242,137.729427,7651,酒場，ビヤホール,,,,,(053)523-7841,,,https://tobacchiri.owst.jp/,,,,,,,,,2020-09-07,,
F0298,Orta Ristorante,オルタリストランテ,,静岡県浜松市中区板屋町675第2ハマエイビル2F,4300928,221309,静岡県,,浜松市,中区,板屋町675,第2ハマエイビル2F,34.706830,137.735813,7629,その他の専門料理店,,,,,(053)455-0321,,,https://www.ortaristorante.com/,,,,,,,,,2020-09-04,,
F0297,肉亭ゆめさく,ニクテイユメサク,,静岡県浜松市中区千歳町77,4328061,221309,静岡県,,浜松市,中区,千歳町77,,34.703464,137.730543,7625,焼き肉店,,,,,(053)401-3008,,,,,,,,,,,,2020-09-10,,
F0296,ベトナム食堂,ベトナムショウドウ,,静岡県浜松市中区住吉1-24-7,4300906,221309,静岡県,,浜松市,中区,住吉1-24-7,,34.729589,137.725222,7629,その他の専門料理店,,,,,(053)478-0164,,,https://nhaanvietnam.com/,,,,,,,,,2020-09-09,,
F0295,居酒屋のぶ,イザカヤノブ,,静岡県浜松市中区元魚町32,4328026,221309,静岡県,,浜松市,中区,元魚町32,,34.703103,137.727850,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)455-4397,,,,,,,,,,,,2020-09-04,,
F0291,がやがや,ガヤガヤ,,静岡県浜松市中区鍛冶町319-20伴野ビル1F,4300933,221309,静岡県,,浜松市,中区,鍛冶町319-20,伴野ビル1F,34.705830,137.730160,7651,酒場，ビヤホール,,,,,(053)451-5860,,,,,,,,,,,,2020-09-04,,
F0290,グランドホテル浜松 聴涛館,チョウトウカン,,静岡県浜松市中区東伊場1-3-1,4328036,221309,静岡県,,浜松市,中区,東伊場1-3-1,,34.701180,137.722545,7621,日本料理店,,,,,(053)454-6311,,,https://www.grandhotel.jp/hamamatsu/,,,,,,,,,2020-09-04,,
F0289,グランドホテル浜松 いなんば,イナンバ,,静岡県浜松市中区東伊場1-3-1,4328036,221309,静岡県,,浜松市,中区,東伊場1-3-1,,34.701180,137.722545,7621,日本料理店,,,,,(053)454-6312,,,https://www.grandhotel.jp/hamamatsu/,,,,,,,,,2020-09-04,,
F0288,炭火焼　ゆらり,スミビヤキユラリ,,静岡県浜松市中区幸1-1-41,4338123,221309,静岡県,,浜松市,中区,幸1-1-41,,34.737776,137.725590,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)476-1252,,,https://yurariyakiniku.wixsite.com/mysite,,,,,,,,,2020-09-08,,
F0287,LaLa Cafe,ララカフェ,,静岡県浜松市中区中央1-18-4ウィステリアピーク101,4300929,221309,静岡県,,浜松市,中区,中央1-18-4,ウィステリアピーク101,34.709521,137.737272,7611,食堂，レストラン（専門料理店を除く）,,,,,(053)455-8226,,,https://ensyuussn.wixsite.com/lalacafe,,,,,,,,,2020-09-07,,
